Country,SummerTimesPart,WinterTimesPart,TotalTimesPart,Tbronzemedal,Tsilvermedal,Tgoldmedal,TotalMedal,SummerTotal,WinterTotal
Afghanistan,14,0,14,2,0,0,2,2,0
Algeria,13,3,16,8,4,5,17,17,0
Argentina,24,19,43,28,25,21,74,74,0
Armenia,6,7,13,6,6,2,14,14,0
Australasia,2,0,2,5,4,3,12,12,0
Australia,26,19,45,192,168,152,512,497,15
Austria,27,24,51,123,114,82,319,87,232
Azerbaijan ,6,6,12,24,11,7,42,42,0
Bahamas,16,0,16,6,2,6,14,14,0
Bahrain,9,0,9,0,1,2,3,3,0
Barbados,12,0,12,1,0,0,1,1,0
Belarus,6,7,13,44,32,20,96,78,18
Belgium,26,21,47,58,55,41,154,148,6
Bermuda,18,8,26,1,0,0,1,1,0
Bohemia,3,0,3,3,1,0,4,4,0
Botswana,10,0,10,0,1,0,1,1,0
Brazil,22,8,30,63,36,30,129,129,0
British WestIndies,1,0,1,2,0,0,2,2,0
Bulgaria,20,20,40,83,89,52,224,218,6
Burundi,6,0,6,0,1,1,2,2,0
Cameroon,14,1,15,2,1,3,6,6,0
Canada,26,22,48,198,166,137,501,302,199
Chile,23,17,40,4,7,2,13,13,0
China,10,11,21,176,195,237,608,546,62
Colombia,19,2,21,14,9,5,28,28,0
Costa Rica,15,6,21,2,1,1,4,4,0
Ivory Coast,13,0,13,1,1,1,3,3,0
Croatia,7,8,15,13,16,15,44,33,11
Cuba,20,0,20,80,68,78,226,226,0
Cyprus,10,11,21,0,1,0,1,1,0
Czech Republic,6,7,13,35,28,24,87,56,31
Czechoslovakia,16,16,32,60,57,51,168,143,25
Denmark,27,14,41,75,75,45,195,194,1
Djibouti,8,0,8,1,0,0,1,1,0
Dominican Republic,14,0,14,2,2,3,7,7,0
Ecuador,14,1,15,0,1,1,2,2,0
Egypt,22,1,23,15,10,7,32,32,0
Eritrea,5,1,6,1,0,0,1,1,0
Estonia,12,10,22,17,11,13,41,34,7
Ethiopia,13,2,15,21,11,22,54,54,0
Fiji,14,3,17,0,0,1,1,1,0
Finland,25,24,49,178,148,144,470,303,167
